title,runtimeMinutes,genres,averageRating,numVotes,director,writer,releaseDate,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay
Sidewalks of New York,108,"Comedy,Romance",6.4,6903,Edward Burns,Edward Burns,"Nov 21, 2001",1000000,2402459,3575308,2001,11,21
Kung Pow: Enter the Fist,81,"Action,Comedy",6.2,48319,Steve Oedekerk,Steve Oedekerk,"Jan 25, 2002",10000000,16033556,17033556,2002,1,25
Serendipity,90,"Comedy,Romance",6.8,120833,Peter Chelsom,Marc Klein,"Oct 5, 2001",28000000,50255310,77477297,2001,10,5
Slackers,86,"Comedy,Romance",5.3,15186,Dewey Nicks,David H. Steinberg,"Feb 1, 2002",11000000,4814244,5942218,2002,2,1
The New Guy,88,Comedy,5.8,37519,Ed Decter,David Kendall,"May 10, 2002",13000000,28972187,28972187,2002,5,10
"Dude, Where's My Car?",83,"Comedy,Mystery,Sci-Fi",5.5,145235,Danny Leiner,Philip Stark,"Dec 15, 2000",13000000,46729374,73180297,2000,12,15
40 Days and 40 Nights,96,"Comedy,Romance",5.6,75624,Michael Lehmann,Rob Perez,"Mar 1, 2002",17000000,37939782,95092667,2002,3,1
Swordfish,99,"Action,Crime,Thriller",6.5,195621,Dominic Sena,Skip Woods,"Jun 8, 2001",80000000,69772969,147080413,2001,6,8
The Forsaken,90,"Action,Horror,Thriller",5.3,9147,J.S. Cardone,J.S. Cardone,"Apr 27, 2001",5000000,6755271,6755271,2001,4,27
Donnie Darko,113,"Drama,Mystery,Sci-Fi",8.0,845068,Richard Kelly,Richard Kelly,"Oct 26, 2001",4500000,1480006,7510154,2001,10,26
Tomcats,95,Comedy,5.3,19441,Gregory Poirier,Gregory Poirier,"Mar 30, 2001",11000000,13558739,13558739,2001,3,30
Juwanna Mann,91,"Comedy,Drama,Romance",4.7,7052,Jesse Vaughan,Bradley Allenstein,"Jun 21, 2002",15600000,13571817,13771817,2002,6,21
Billy Elliot,110,"Drama,Music",7.7,141938,Stephen Daldry,Lee Hall,"Oct 13, 2000",5000000,21995263,109252972,2000,10,13
The Brothers,106,"Comedy,Drama,Romance",6.3,5041,Gary Hardwick,Gary Hardwick,"Mar 23, 2001",6000000,27457409,27958191,2001,3,23
Rat Race,112,"Action,Adventure,Comedy",6.5,122532,Jerry Zucker,Andy Breckman,"Aug 17, 2001",48000000,56607223,86607223,2001,8,17
Heist,109,"Action,Crime,Drama",6.5,38924,David Mamet,David Mamet,"Nov 9, 2001",35000000,23483357,28906817,2001,11,9
The Sweetest Thing,84,"Comedy,Romance",5.2,62154,Roger Kumble,Nancy M. Pimental,"Jan 1, 2002",43000000,24430272,63078756,2002,1,1
Baby Boy,130,"Crime,Drama,Romance",6.4,16392,John Singleton,John Singleton,"Jun 27, 2001",16000000,28734552,28734552,2001,6,27
The Curse of the Jade Scorpion,103,"Comedy,Crime,Mystery",6.7,42268,Woody Allen,Woody Allen,"Aug 24, 2001",26000000,7496522,18496522,2001,8,24
Cursed,97,"Comedy,Horror",5.0,34841,Wes Craven,Kevin Williamson,"Feb 25, 2005",35000000,19294901,25114901,2005,2,25
Panic Room,112,"Crime,Drama,Thriller",6.8,295352,David Fincher,David Koepp,"Mar 29, 2002",48000000,95308367,196308367,2002,3,29
Pootie Tang,81,"Action,Adventure,Comedy",5.3,15021,Louis C.K.,Louis C.K.,"Jun 29, 2001",3500000,3293258,3293258,2001,6,29
Ghost Rider,110,"Action,Fantasy,Thriller",5.3,251074,Mark Steven Johnson,Mark Steven Johnson,"Feb 16, 2007",120000000,115802596,229545589,2007,2,16
My Big Fat Greek Wedding,95,"Comedy,Drama,Romance",6.6,143871,Joel Zwick,Nia Vardalos,"Apr 19, 2002",5000000,241438208,374890034,2002,4,19
Jay and Silent Bob Strike Back,104,Comedy,6.8,160522,Kevin Smith,Kevin Smith,"Aug 24, 2001",22000000,30059386,33762400,2001,8,24
Empire,90,"Crime,Drama,Thriller",5.9,7873,Franc. Reyes,Franc. Reyes,"Dec 6, 2002",3500000,17504595,18495444,2002,12,6
George Washington,89,Drama,7.2,8641,David Gordon Green,David Gordon Green,"Oct 27, 2000",42000,241816,342722,2000,10,27
Jeepers Creepers,90,"Horror,Mystery",6.2,141420,Victor Salva,Victor Salva,"Aug 31, 2001",10000000,37904175,58939035,2001,8,31
Basic,98,"Action,Crime,Drama",6.4,66221,John McTiernan,James Vanderbilt,"Mar 28, 2003",50000000,26599248,42598498,2003,3,28
Life as a House,125,Drama,7.4,45494,Irwin Winkler,Mark Andrus,"Oct 26, 2001",18000000,15652637,23889158,2001,10,26
Murder by Numbers,115,"Crime,Mystery,Thriller",6.2,62096,Barbet Schroeder,Tony Gayton,"Apr 19, 2002",50000000,31874869,56643267,2002,4,19
One Hour Photo,96,"Drama,Thriller",6.8,131199,Mark Romanek,Mark Romanek,"Aug 21, 2002",12000000,31597131,52223306,2002,8,21
The Rookie,127,"Drama,Family,Sport",6.9,36967,John Lee Hancock,Mike Rich,"Mar 29, 2002",22000000,75600072,80491516,2002,3,29
Death to Smoochy,109,"Comedy,Crime,Drama",6.3,42446,Danny DeVito,Adam Resnick,"Mar 29, 2002",50000000,8355815,8374062,2002,3,29
Duplex,89,Comedy,5.9,61324,Danny DeVito,Larry Doyle,"Sep 26, 2003",40000000,9652000,10070651,2003,9,26
Marci X,84,"Comedy,Music",3.0,5479,Richard Benjamin,Paul Rudnick,"Aug 22, 2003",20000000,1646664,1646664,2003,8,22
Abandon,99,"Drama,Mystery,Romance",4.8,10141,Stephen Gaghan,Stephen Gaghan,"Oct 18, 2002",25000000,10719367,12219367,2002,10,18
Brigham City,119,"Crime,Drama,Mystery",6.7,1602,Richard Dutcher,Richard Dutcher,"Apr 6, 2001",1000000,852206,852206,2001,4,6
The Majestic,152,"Drama,Romance",6.9,57379,Frank Darabont,Michael Sloane,"Dec 21, 2001",72000000,27796042,37306334,2001,12,21
Two Can Play That Game,90,"Comedy,Romance",6.1,7336,Mark Brown,Mark Brown,"Sep 7, 2001",13000000,22235901,22391450,2001,9,7
The Business of Strangers,84,"Drama,Thriller",6.3,3831,Patrick Stettner,Patrick Stettner,"Dec 7, 2001",6000000,1030920,1290920,2001,12,7
My Boss's Daughter,86,"Comedy,Romance",4.7,30572,David Zucker,David Dorfman,"Aug 22, 2003",14000000,15549702,15565357,2003,8,22
Narc,105,"Crime,Drama,Mystery",7.1,42945,Joe Carnahan,Joe Carnahan,"Dec 20, 2002",7500000,10465659,11843260,2002,12,20
Punch-Drunk Love,95,"Comedy,Drama,Romance",7.3,175889,Paul Thomas Anderson,Paul Thomas Anderson,"Oct 11, 2002",25000000,17791031,24591031,2002,10,11
Ararat,115,"Drama,War",6.3,14751,Atom Egoyan,Atom Egoyan,"Nov 15, 2002",15500000,1693000,1757694,2002,11,15
Orange County,82,"Comedy,Drama",6.2,51808,Jake Kasdan,Mike White,"Jan 11, 2002",18000000,41059716,43308707,2002,1,11
Crossroads,93,"Comedy,Drama,Romance",3.7,43307,Tamra Davis,Shonda Rhimes,"Feb 15, 2002",12000000,37188667,57000000,2002,2,15
The Country Bears,88,"Comedy,Family,Music",4.2,6084,Peter Hastings,Mark Perez,"Jul 26, 2002",20000000,16988996,16988996,2002,7,26
Enough,115,"Crime,Drama,Thriller",5.8,47455,Michael Apted,Nicholas Kazan,"May 24, 2002",38000000,39177215,50970660,2002,5,24
How High,93,"Comedy,Fantasy",6.2,61510,Jesse Dylan,Dustin Lee Abraham,"Dec 21, 2001",12000000,31155435,31222395,2001,12,21
Hollywood Ending,112,"Comedy,Romance",6.5,28056,Woody Allen,Woody Allen,"May 3, 2002",16000000,4839383,14839383,2002,5,3
The Good Girl,93,"Drama,Romance",6.4,47131,Miguel Arteta,Mike White,"Aug 7, 2002",8000000,14018296,16585503,2002,8,7
Joe Somebody,98,"Comedy,Drama",5.5,11057,John Pasquin,John Scott Shepherd,"Dec 21, 2001",38000000,22770864,24515990,2001,12,21
Trapped,106,"Action,Crime,Drama",6.1,25689,Luis Mandoki,Greg Iles,"Sep 20, 2002",30000000,6916869,7005468,2002,9,20
The Banger Sisters,98,"Comedy,Drama",5.7,17243,Bob Dolman,Bob Dolman,"Sep 20, 2002",10000000,30306281,38067218,2002,9,20
Femme Fatale,114,"Crime,Drama,Mystery",6.2,37501,Brian De Palma,Brian De Palma,"Nov 6, 2002",35000000,6630252,16830252,2002,11,6
Igby Goes Down,98,"Comedy,Drama",6.8,35016,Burr Steers,Burr Steers,"Sep 13, 2002",9000000,4777465,5512151,2002,9,13
Love Liza,90,"Comedy,Drama",6.9,8520,Todd Louiso,Gordy Hoffman,"Dec 30, 2002",1000000,213137,213137,2002,12,30
Brooklyn Rules,99,"Crime,Drama",6.3,5950,Michael Corrente,Terence Winter,"May 11, 2007",8000000,458232,458232,2007,5,11
No Man's Land,98,"Comedy,Drama,War",7.9,48691,Danis Tanovic,Danis Tanovic,"Dec 7, 2001",1000000,1067481,2684207,2001,12,7
They,89,"Horror,Mystery,Thriller",4.8,13606,Robert Harmon,Brendan Hood,"Nov 27, 2002",17000000,12840842,16140842,2002,11,27
Once Upon a Time in Mexico,102,"Action,Crime,Thriller",6.3,169150,Robert Rodriguez,Robert Rodriguez,"Sep 12, 2003",29000000,56330657,97413527,2003,9,12
Signs,106,"Drama,Mystery,Sci-Fi",6.8,383708,M. Night Shyamalan,M. Night Shyamalan,"Aug 2, 2002",70702619,227969295,408250578,2002,8,2
Stolen Summer,91,Drama,6.5,2887,Pete Jones,Pete Jones,"Mar 22, 2002",1500000,119841,119841,2002,3,22
Sunshine State,141,"Drama,Romance",6.8,4228,John Sayles,John Sayles,"Jun 21, 2002",5600000,3064356,3281898,2002,6,21
All or Nothing,128,Drama,7.5,11400,Mike Leigh,Mike Leigh,"Oct 25, 2002",9000000,184255,186240,2002,10,25
Daredevil,103,"Action,Crime",5.3,228331,Mark Steven Johnson,Mark Steven Johnson,"Feb 14, 2003",80000000,102543518,182782518,2003,2,14
The Life of David Gale,130,"Crime,Drama,Mystery",7.5,125540,Alan Parker,Charles Randolph,"Feb 21, 2003",50000000,19694635,28920188,2003,2,21
Full Frontal,101,"Comedy,Romance",4.7,11279,Steven Soderbergh,Coleman Hough,"Aug 2, 2002",2000000,2512846,3438804,2002,8,2
The Wash,96,Comedy,4.8,7613,DJ Pooh,DJ Pooh,"Nov 14, 2001",4000000,10097096,10097096,2001,11,14
Beyond Borders,127,"Adventure,Drama,Romance",6.4,29000,Martin Campbell,Caspian Tredwell-Owen,"Oct 24, 2003",60000000,4426297,11427090,2003,10,24
Wrong Turn,84,"Horror,Thriller",6.1,130316,Rob Schmidt,Alan B. McElroy,"May 30, 2003",10000000,15417771,28649556,2003,5,30
xXx,124,"Action,Adventure,Thriller",5.8,185928,Rob Cohen,Rich Wilkes,"Aug 9, 2002",70000000,141930000,267200000,2002,8,9
Time Changer,95,"Drama,Fantasy,Sci-Fi",5.2,2884,Rich Christiano,Rich Christiano,"Oct 25, 2002",825000,1500711,1500711,2002,10,25
Half Past Dead,98,"Action,Crime,Thriller",4.6,16652,Don Michael Paul,Don Michael Paul,"Nov 15, 2002",25000000,15567860,19233280,2002,11,15
8 Mile,110,"Drama,Music",7.2,318256,Curtis Hanson,Scott Silver,"Nov 8, 2002",41000000,116724075,245768384,2002,11,8
Gigli,121,"Comedy,Crime,Romance",2.6,50589,Martin Brest,Martin Brest,"Aug 1, 2003",54000000,6087542,7126002,2003,8,1
Jersey Girl,102,"Comedy,Drama,Romance",6.2,70048,Kevin Smith,Kevin Smith,"Mar 26, 2004",35000000,25266129,37066129,2004,3,26
Jeepers Creepers 2,106,Horror,5.7,70186,Victor Salva,Victor Salva,"Aug 29, 2003",25000000,35623801,119923801,2003,8,29
The Order,102,"Horror,Mystery,Thriller",5.1,18415,Brian Helgeland,Brian Helgeland,"Sep 5, 2003",35000000,7659747,11559747,2003,9,5
Anger Management,106,Comedy,6.2,227250,Peter Segal,David Dorfman,"Apr 11, 2003",56000000,135560942,195484552,2003,4,11
Bringing Down the House,105,Comedy,5.6,39042,Adam Shankman,Jason Filardi,"Mar 7, 2003",20000000,132675402,164675402,2003,3,7
Just Married,95,"Comedy,Romance",5.5,74132,Shawn Levy,Sam Harper,"Jan 10, 2003",19000000,56127162,101564935,2003,1,10
Sonny,110,"Crime,Drama",5.6,4542,Nicolas Cage,John Carlen,"Dec 27, 2002",4000000,17639,17639,2002,12,27
25th Hour,135,Drama,7.6,184205,Spike Lee,David Benioff,"Dec 19, 2002",4500000,13084595,25344490,2002,12,19
Bobby,117,"Biography,Drama,History",7.0,42752,Emilio Estevez,Emilio Estevez,"Nov 17, 2006",14000000,11242801,20597806,2006,11,17
Ballistic: Ecks vs. Sever,91,"Action,Crime,Mystery",3.7,20970,Wych Kaosayananda,Alan B. McElroy,"Sep 20, 2002",70000000,14294842,14294842,2002,9,20
Interview with the Assassin,88,Drama,6.5,1906,Neil Burger,Neil Burger,"Nov 15, 2002",750000,47329,47329,2002,11,15
Identity,90,"Mystery,Thriller",7.3,265618,James Mangold,Michael Cooney,"Apr 25, 2003",28000000,52131264,82119036,2003,4,25
Bowling for Columbine,120,"Crime,Documentary,Drama",8.0,148396,Michael Moore,Michael Moore,"Oct 11, 2002",3000000,21576018,58240487,2002,10,11
Confidence,97,"Crime,Thriller",6.6,35249,James Foley,Doug Jung,"Apr 25, 2003",15000000,12212417,12970401,2003,4,25
Holes,117,"Adventure,Comedy,Drama",7.0,99264,Andrew Davis,Louis Sachar,"Apr 18, 2003",20000000,67383924,71232214,2003,4,18
Pieces of April,80,"Comedy,Drama",7.0,22061,Peter Hedges,Peter Hedges,"Oct 17, 2003",300000,2528664,3571253,2003,10,17
The Blue Butterfly,97,"Adventure,Drama",6.2,1628,Léa Pool,Pete McCormack,"Feb 20, 2004",10400000,1610194,1610194,2004,2,20
Out of Time,105,"Crime,Drama,Mystery",6.5,65179,Carl Franklin,Dave Collard,"Oct 3, 2003",50000000,41083108,55489826,2003,10,3
Two Weeks Notice,101,"Comedy,Romance",6.1,125436,Marc Lawrence,Marc Lawrence,"Dec 20, 2002",60000000,93354918,199043309,2002,12,20
Anything Else,108,"Comedy,Romance",6.3,32531,Woody Allen,Woody Allen,"Sep 19, 2003",18000000,3203044,13203044,2003,9,19
Love Actually,135,"Comedy,Drama,Romance",7.6,529497,Richard Curtis,Richard Curtis,"Nov 7, 2003",45000000,60104551,246348772,2003,11,7
The Singing Detective,109,"Comedy,Crime,Musical",5.4,8915,Keith Gordon,Dennis Potter,"Oct 24, 2003",8000000,336456,524747,2003,10,24
Twisted,97,"Crime,Drama,Mystery",5.3,23021,Philip Kaufman,Sarah Thorp,"Feb 27, 2004",50000000,25195050,40119848,2004,2,27
The Calling,117,"Drama,Family",7.1,15,Michael C. Brown,Michael C. Brown,"Mar 1, 2002",160000,32092,32092,2002,3,1
21 Grams,124,"Crime,Drama,Thriller",7.6,245116,Alejandro G. Iñárritu,Guillermo Arriaga,"Nov 21, 2003",20000000,16248701,59667625,2003,11,21
Daddy Day Care,92,"Comedy,Family",5.6,73430,Steve Carr,Geoff Rodkey,"May 9, 2003",60000000,104148781,164285587,2003,5,9
The Hebrew Hammer,85,Comedy,6.1,5070,Jonathan Kesselman,Jonathan Kesselman,"Dec 19, 2003",1300000,77755,90213,2003,12,19
Hidalgo,136,"Action,Adventure,Biography",6.7,85308,Joe Johnston,John Fusco,"Mar 5, 2004",78000000,67286731,108086731,2004,3,5
The Incredibles,115,"Action,Adventure,Animation",8.0,801587,Brad Bird,Brad Bird,"Oct 22, 2004",92000000,261441092,631441092,2004,10,22
Alex & Emma,96,"Comedy,Romance",5.5,13858,Rob Reiner,Jeremy Leven,"Jun 20, 2003",30000000,14208384,15358583,2003,6,20
Resident Evil: Apocalypse,94,"Action,Horror,Sci-Fi",6.1,208987,Alexander Witt,Paul W.S. Anderson,"Sep 10, 2004",50000000,50740078,125168734,2004,9,10
Elf,97,"Adventure,Comedy,Family",7.1,309603,Jon Favreau,David Berenbaum,"Nov 7, 2003",32000000,181096587,227909435,2003,11,7
Kingdom of Heaven,144,"Action,Adventure,Drama",7.3,311627,Ridley Scott,William Monahan,"May 6, 2005",110000000,47398413,218674938,2005,5,6
Envy,99,Comedy,4.8,32215,Barry Levinson,Steve Adams,"Apr 30, 2004",20000000,13548322,14566246,2004,4,30
Secondhand Lions,111,"Comedy,Drama,Family",7.5,61266,Tim McCanlies,Tim McCanlies,"Sep 19, 2003",30000000,42070939,47902566,2003,9,19
American Wedding,96,Comedy,6.3,216256,Jesse Dylan,Adam Herz,"Aug 1, 2003",55000000,104354205,232354205,2003,8,1
Torque,84,"Action,Comedy,Crime",4.1,29399,Joseph Kahn,Matt Johnson,"Jan 16, 2004",40000000,21176322,46176322,2004,1,16
School of Rock,109,"Comedy,Music",7.2,328296,Richard Linklater,Mike White,"Oct 3, 2003",20000000,81261177,131944672,2003,10,3
Garden State,102,"Comedy,Drama,Romance",7.4,222742,Zach Braff,Zach Braff,"Jul 28, 2004",2500000,26782316,36028802,2004,7,28
Lost in Translation,102,"Comedy,Drama",7.7,485022,Sofia Coppola,Sofia Coppola,"Sep 12, 2003",4000000,44585453,117085297,2003,9,12
Win a Date with Tad Hamilton!,96,"Comedy,Romance",5.6,29365,Robert Luketic,Victor Levin,"Jan 23, 2004",24000000,16980098,17589829,2004,1,23
Something's Gotta Give,128,"Comedy,Drama,Romance",6.7,128518,Nancy Meyers,Nancy Meyers,"Dec 12, 2003",80000000,124685242,266685242,2003,12,12
The Haunted Mansion,99,"Comedy,Family,Fantasy",5.2,56633,Rob Minkoff,David Berenbaum,"Nov 26, 2003",90000000,75817994,155750628,2003,11,26
Paparazzi,84,"Action,Crime,Drama",5.7,15655,Paul Abascal,Forry Smith,"Sep 3, 2004",20000000,15712072,16612072,2004,9,3
Shopgirl,106,"Drama,Romance",6.3,24636,Anand Tucker,Steve Martin,"Oct 21, 2005",7500000,10284523,11758418,2005,10,21
Van Helsing,131,"Action,Adventure,Fantasy",6.1,282929,Stephen Sommers,Stephen Sommers,"May 5, 2004",170000000,120150546,300150546,2004,5,5
The Aviator,170,"Biography,Drama",7.5,382311,Martin Scorsese,John Logan,"Dec 17, 2004",110000000,102608827,208370892,2004,12,17
From Justin to Kelly,81,"Comedy,Musical,Romance",1.9,26993,Robert Iscove,Kim Fuller,"Jun 20, 2003",12000000,4922166,4922166,2003,6,20
The Station Agent,89,"Comedy,Drama",7.6,73051,Tom McCarthy,Tom McCarthy,"Oct 3, 2003",500000,5801558,9470209,2003,10,3
Monster,109,"Biography,Crime,Drama",7.3,160739,Patty Jenkins,Patty Jenkins,"Dec 24, 2003",5000000,34469210,64200321,2003,12,24
Dear Wendy,105,"Comedy,Crime,Drama",6.5,10451,Thomas Vinterberg,Lars von Trier,"Sep 23, 2005",8000000,23106,446438,2005,9,23
Along Came Polly,90,"Comedy,Romance",6.0,143155,John Hamburg,John Hamburg,"Jan 16, 2004",42000000,88073507,173044410,2004,1,16
50 First Dates,99,"Comedy,Drama,Romance",6.8,379302,Peter Segal,George Wing,"Feb 13, 2004",75000000,120776832,196320329,2004,2,13
The Good Shepherd,167,"Drama,History,Thriller",6.7,108070,Robert De Niro,Eric Roth,"Dec 22, 2006",80000000,59908565,100378271,2006,12,22
Connie and Carla,108,"Comedy,Crime,Music",6.2,8603,Michael Lembeck,Nia Vardalos,"Apr 16, 2004",20000000,8047525,9649039,2004,4,16
Sky Captain and the World of Tomorrow,106,"Action,Adventure,Mystery",6.1,87220,Kerry Conran,Kerry Conran,"Sep 17, 2004",70000000,37760080,49730854,2004,9,17
Waiting...,94,Comedy,6.7,105489,Rob McKittrick,Rob McKittrick,"Oct 7, 2005",1125000,16124543,18673274,2005,10,7
Gothika,98,"Horror,Mystery,Thriller",5.8,118558,Mathieu Kassovitz,Sebastian Gutierrez,"Nov 21, 2003",40000000,59588068,141484812,2003,11,21
Breakin' All the Rules,85,"Comedy,Romance",5.6,6366,Daniel Taplitz,Daniel Taplitz,"May 14, 2004",9000000,12232382,12512317,2004,5,14
Eulogy,91,"Comedy,Drama",6.4,9253,Michael Clancy,Michael Clancy,"Oct 15, 2004",10000000,70527,91201,2004,10,15
King Arthur,126,"Action,Adventure,Drama",6.3,175405,Antoine Fuqua,David Franzoni,"Jul 7, 2004",90000000,51877963,203653524,2004,7,7
Ladder 49,115,"Action,Drama,Thriller",6.5,59293,Jay Russell,Lewis Colick,"Oct 1, 2004",60000000,74541707,102332848,2004,10,1
Miracle,135,"Biography,Drama,History",7.4,58495,Gavin O'Connor,Eric Guggenheim,"Feb 6, 2004",28000000,64378093,64474705,2004,2,6
De-Lovely,125,"Biography,Drama,Music",6.6,11811,Irwin Winkler,Jay Cocks,"Jun 25, 2004",15000000,13337299,18524496,2004,6,25
The Brothers Grimm,118,"Action,Adventure,Comedy",5.9,125903,Terry Gilliam,Ehren Kruger,"Aug 26, 2005",80000000,37899638,105299638,2005,8,26
Lords of Dogtown,107,"Biography,Drama,Sport",7.1,57897,Catherine Hardwicke,Stacy Peralta,"Jun 3, 2005",25000000,11273517,13424365,2005,6,3
A Cinderella Story,95,"Comedy,Family,Romance",5.9,93495,Mark Rosman,Leigh Dunlap,"Jul 16, 2004",19000000,51438175,70112484,2004,7,16
Foolproof,94,"Action,Comedy,Crime",6.4,11060,William Phillips,William Phillips,"Oct 3, 2003",5800000,230312,421021,2003,10,3
The Forgotten,91,"Drama,Mystery,Sci-Fi",5.8,68214,Joseph Ruben,Gerald Di Pego,"Sep 24, 2004",50000000,66711892,117211892,2004,9,24
The Family Stone,103,"Comedy,Drama,Romance",6.3,74956,Thomas Bezucha,Thomas Bezucha,"Dec 16, 2005",18000000,60062868,92357499,2005,12,16
The Ballad of Jack and Rose,112,Drama,6.5,12126,Rebecca Miller,Rebecca Miller,"Mar 25, 2005",1500000,712294,1126258,2005,3,25
A Home at the End of the World,97,"Drama,Romance",6.6,13974,Michael Mayer,Michael Cunningham,"Jul 23, 2004",6500000,1029017,1038228,2004,7,23
The Real Cancun,96,Documentary,2.9,3942,Rick de Oliveira,Brian Caldirola,"Apr 25, 2003",4000000,3816594,4188034,2003,4,25
Fahrenheit 9/11,122,"Documentary,Drama,War",7.5,132147,Michael Moore,Michael Moore,"Jun 23, 2004",6000000,119114517,221148959,2004,6,23
Inglourious Basterds,153,"Adventure,Drama,War",8.4,1569218,Quentin Tarantino,Quentin Tarantino,"Aug 21, 2009",70000000,120774594,316802281,2009,8,21
The Machinist,101,"Drama,Thriller",7.6,413398,Brad Anderson,Scott Kosar,"Oct 22, 2004",5000000,1082044,8655397,2004,10,22
Son of the Mask,94,"Comedy,Family,Fantasy",2.3,59089,Lawrence Guterman,Lance Khazei,"Feb 18, 2005",100000000,17018422,59918422,2005,2,18
Kinsey,118,"Biography,Drama,Romance",7.1,50831,Bill Condon,Bill Condon,"Nov 12, 2004",11000000,10214647,17443529,2004,11,12
Freeze Frame,99,"Crime,Drama,Mystery",6.3,2942,John Simpson,John Simpson,"Dec 10, 2004",2000000,0,105377,2004,12,10
Elephant,81,"Crime,Drama,Thriller",7.1,96762,Gus Van Sant,Gus Van Sant,"Oct 24, 2003",3000000,1266955,10051516,2003,10,24
Dodgeball: A True Underdog Story,92,"Comedy,Sport",6.7,265677,Rawson Marshall Thurber,Rawson Marshall Thurber,"Jun 18, 2004",30000000,114326736,167791704,2004,6,18
The Matador,96,"Comedy,Crime,Thriller",6.7,46295,Richard Shepard,Richard Shepard,"Dec 30, 2005",10000000,12589255,17300838,2005,12,30
The Upside of Anger,118,"Comedy,Drama",6.8,22869,Mike Binder,Mike Binder,"Mar 11, 2005",12000000,18761993,28915761,2005,3,11
You Got Served,95,"Drama,Music",3.8,28551,Chris Stokes,Chris Stokes,"Jan 30, 2004",8000000,40066497,50811858,2004,1,30
Shortbus,101,"Comedy,Drama,Romance",6.4,35263,John Cameron Mitchell,John Cameron Mitchell,"Oct 4, 2006",2000000,1997497,1997497,2006,10,4
The Squid and the Whale,81,"Comedy,Drama",7.3,89865,Noah Baumbach,Noah Baumbach,"Oct 5, 2005",1500000,7372734,11191423,2005,10,5
Hannibal Rising,121,"Adventure,Crime,Drama",6.1,115387,Peter Webber,Thomas Harris,"Feb 9, 2007",50000000,27669725,80583311,2007,2,9
The Village,108,"Drama,Mystery,Thriller",6.6,276285,M. Night Shyamalan,M. Night Shyamalan,"Jul 30, 2004",71682975,114197520,257641634,2004,7,30
Elizabethtown,123,"Comedy,Drama,Romance",6.3,72465,Cameron Crowe,Cameron Crowe,"Oct 14, 2005",54000000,26850426,50719373,2005,10,14
Sleepover,89,"Comedy,Family,Romance",5.3,17930,Joe Nussbaum,Elisa Bell,"Jul 9, 2004",10000000,9408183,9424052,2004,7,9
Collateral,120,"Action,Crime,Drama",7.5,430654,Michael Mann,Stuart Beattie,"Aug 6, 2004",60000000,100170152,217602967,2004,8,6
Monster-in-Law,101,"Comedy,Romance",5.6,65223,Robert Luketic,Anya Kochoff,"May 13, 2005",45000000,82931301,155931301,2005,5,13
Ultraviolet,88,"Action,Sci-Fi",4.3,83876,Kurt Wimmer,Kurt Wimmer,"Mar 3, 2006",30000000,18522064,30962112,2006,3,3
Spanglish,131,"Comedy,Drama,Romance",6.4,88296,James L. Brooks,James L. Brooks,"Dec 17, 2004",75000000,42044321,54344321,2004,12,17
Dragon Wars: D-War,107,"Action,Drama,Fantasy",3.5,25312,Hyung-rae Shim,Hyung-rae Shim,"Sep 14, 2007",32000000,10977721,79915361,2007,9,14
Imaginary Heroes,111,Drama,7.1,9983,Dan Harris,Dan Harris,"Dec 17, 2004",10000000,228524,290875,2004,12,17
Incident at Loch Ness,94,"Adventure,Comedy,Fantasy",6.5,4394,Zak Penn,Zak Penn,"Sep 17, 2004",1400000,36830,56073,2004,9,17
White Noise,101,"Drama,Horror,Mystery",5.5,50604,Geoffrey Sax,Niall Johnson,"Jan 7, 2005",10000000,56094360,92094360,2005,1,7
Closer,104,"Drama,Romance",7.2,234949,Mike Nichols,Patrick Marber,"Dec 3, 2004",35000000,33987757,116148537,2004,12,3
Mean Creek,90,"Crime,Drama",7.1,33264,Jacob Estes,Jacob Estes,"Aug 20, 2004",500000,603951,1348750,2004,8,20
The Gospel of John,180,"Biography,Drama,History",7.7,4137,Philip Saville,John Goldsmith,"Sep 26, 2003",11000000,4068087,4234355,2003,9,26
Into the Blue,110,"Action,Adventure,Crime",5.9,79267,John Stockwell,Matt Johnson,"Sep 30, 2005",50000000,18782227,41982227,2005,9,30
Touching the Void,106,"Adventure,Documentary,Drama",8.0,37936,Kevin Macdonald,Joe Simpson,"Dec 12, 2003",2000000,4593598,15396525,2003,12,12
Serenity,119,"Action,Adventure,Sci-Fi",7.8,304831,Joss Whedon,Joss Whedon,"Sep 30, 2005",39000000,25514517,40319440,2005,9,30
Hide and Seek,101,"Horror,Mystery",5.9,88489,John Polson,Ari Schlossberg,"Jan 28, 2005",25000000,51100486,123696741,2005,1,28
Stealth,121,"Action,Adventure,Sci-Fi",5.1,56071,Rob Cohen,W.D. Richter,"Jul 29, 2005",138000000,32116746,76416746,2005,7,29
"Synecdoche, New York",124,Drama,7.5,97702,Charlie Kaufman,Charlie Kaufman,"Oct 24, 2008",20000000,3083538,4383538,2008,10,24
Vera Drake,125,"Crime,Drama",7.6,26745,Mike Leigh,Mike Leigh,"Oct 10, 2004",11000000,3753806,13353855,2004,10,10
Silent Hill,125,"Horror,Mystery",6.5,242825,Christophe Gans,Roger Avary,"Apr 21, 2006",50000000,46982632,94704227,2006,4,21
The Weather Man,102,"Comedy,Drama",6.6,83046,Gore Verbinski,Steve Conrad,"Oct 28, 2005",20000000,12482775,15466961,2005,10,28
